place,1way_int_count_bike,1way_int_prop_bike,2way_int_count_bike,2way_int_prop_bike,3way_int_count_bike,3way_int_prop_bike,4way_int_count_bike,4way_int_prop_bike,5way_int_count_bike,5way_int_prop_bike,6way_int_count_bike,6way_int_prop_bike,7way_int_count_bike,7way_int_prop_bike,8way_int_count_bike,8way_int_prop_bike,circuity_avg_bike,disconnected_components_bike,edge_density_km_bike,edge_length_avg_bike,edge_length_total_bike,entropy_bike,intersection_count_bike,intersection_density_km_bike,k_avg_bike,length_bike,linearity_mean_bike,linearity_median_bike,m_bike,n_bike,node_density_km_bike,self_loop_proportion_bike,street_density_km_bike,street_length_avg_bike,street_length_total_bike,street_segment_count_bike,streets_per_node_avg_bike
"Lisbon, Portugal",56,0.018530774321641297,5,0.0016545334215751159,1439,0.4761747187293183,1456,0.4818001323626737,61,0.02018530774321641,5,0.0016545334215751159,,,,,1.055139279693947,175.0,39366993065073.05,63.874854617604704,354122.1940000005,3.544348955213066,2966,329723760355.4622,3.669093315684977,35.412219400000005,0.9669100870230725,0.9999476277848984,5544,3022,335949158393.1918,0.0003316749585406302,20977008291634.242,62.58599137645103,188696.76399999985,3015,3.488418266048974
"Liverpool, United Kingdom",24,0.01867704280155642,1,0.0007782101167315176,826,0.6428015564202335,413,0.32140077821011676,20,0.01556420233463035,1,0.0007782101167315176,,,,,1.035034627759263,167.0,9124166797519.832,74.45202078626293,164762.32199999987,3.5437500018175214,1261,69831343671.35538,3.4443579766536967,16.4762322,0.9644248464320447,0.9994934958319412,2213,1285,71160409688.89108,0.0,4678274614099.7,73.52421061792869,84479.31800000006,1149,3.316731517509728
"Lodz, Poland",157,0.014386511500045817,19,0.0017410427929991754,5552,0.5087510308806011,5004,0.45853569137725647,168,0.015394483643361129,11,0.001007972143315312,2,0.00018326766242096582,,,1.0159016919164257,274.0,20380045239665.66,33.46894416964204,778119.4830000078,3.4849714661576465,10756,281714789806.6981,4.260789883625034,77.8119483,0.9881495446116881,0.9999999999999997,23249,10913,285826840940.9164,0.0001697648756472286,10305621793026.96,33.398978949155435,393473.37100000016,11781,3.462567579950518
"London, United Kingdom",477,0.012296032789420772,1125,0.029000077333539556,25078,0.6464568349960045,11456,0.29531100971824814,581,0.014976928827365761,68,0.0017528935632717243,7,0.0001804449256309128,1,2.5777846518701826e-05,1.0453459243902867,4227.0,17590663387873.717,53.727486964383516,3624939.8179999916,3.5735784192187565,38316,185935185743.75705,3.4784110535405874,362.49398180000003,0.9663390808073592,0.9993885267513237,67469,38793,188249912844.7011,0.00013640331732867744,9208522681086.283,51.76824866324753,1897616.9230000016,36656,3.277782074085531
"Madrid, Spain",92,0.015558937933367156,11,0.0018603077963808556,2940,0.4972095383054287,2698,0.45628276678504986,141,0.023845763571790968,28,0.004735328936242178,2,0.00033823778116015557,1,0.00016911889058007779,1.072596755854311,255.0,13256612664753.385,74.07013930218352,851288.1109999951,3.560054015890964,5821,90647033976.40884,3.887366818873668,85.12881110000001,0.9619212486115754,0.9996900643857687,11493,5913,92079696255.36943,0.0013061224489795918,6984328522554.439,73.2255373061225,448506.4160000004,6125,3.4874006426517843
"Manchester, United Kingdom",43,0.017688194158782394,5,0.0020567667626491155,1616,0.6647470176881941,730,0.3002879473467709,30,0.012340600575894693,7,0.002879473467708762,,,,,1.0765109341104935,231.0,20221275754622.438,73.03131010613745,316517.69799999974,3.5705816482179067,2388,152561473835.9383,3.565610859728507,31.6517698,0.9663824109859418,0.9996173163517865,4334,2431,155308602552.41458,0.0,10451471453922.428,70.51457629310339,163593.81699999986,2320,3.296174413821473
"Medellín, Colombia",19,0.0135424091233072,3,0.0021382751247327157,420,0.2993585174625802,934,0.6657163221667854,20,0.014255167498218105,7,0.004989308624376337,,,,,1.087250120551266,65.0,5905724582759.429,75.1068466334163,180707.0729999996,3.39125729717712,1384,45230785308.21574,3.429793300071276,18.0707073,0.9666065671437127,0.9999999999999998,2406,1403,45851728170.10598,0.0014566642388929353,3373144411757.6294,75.1737749453751,103213.59300000002,1373,3.6799714896650038
"Melbourne, Australia",1298,0.021801202593301757,74,0.0012429036917598845,36642,0.6154388793711579,21087,0.3541771641640633,393,0.006600826362995062,40,0.0006718398333837213,4,6.718398333837214e-05,,,1.0654701114705452,3109.0,9663342082673.033,73.94990540700984,8722982.942000067,3.432953827573036,58240,64518416078.18578,3.96244415331385,872.2982942,0.9727842655112637,0.9992251896539139,117958,59538,65956343689.268974,0.00026902059688944935,4867017329295.408,73.86966189155072,4393398.140999979,59475,3.3248177634451945
"Mexico City, Mexico",68,0.02052520374283127,6,0.0018110473890733474,1017,0.3069725324479324,2163,0.6528825837609418,47,0.014186537881074554,10,0.003018412315122246,2,0.0006036824630244491,,,1.0534265985208804,153.0,3342390609301.9253,90.15080449390997,429298.1309999993,3.393226925034429,3245,25264627875.085636,2.8747358889224266,42.929813100000004,0.9750008153362606,1.0,4762,3313,25794056132.560467,0.0015220700152207,2168693833453.1506,84.79391080669716,278547.99700000015,3285,3.6498641714458193
"Milan, Italy",178,0.02608440797186401,124,0.01817116060961313,3189,0.46732121922626024,3219,0.47171746776084406,103,0.015093786635404454,10,0.0014654161781946073,0,0.0,1,0.00014654161781946072,1.054558822860961,452.0,30650867426413.77,54.092384939708325,641481.593000001,3.5578569543930225,6646,317554965160.0768,3.4756740914419697,64.1481593,0.974968887070196,0.9999987579135996,11859,6824,326060048488.16797,0.0008788633367511352,17150308832251.34,52.57550725062259,358932.9880000004,6827,3.436694021101993
"Milton Keynes, United Kingdom",56,0.007881773399014778,0,0.0,4114,0.5790288529204786,2874,0.4045038705137227,55,0.007741027445460943,6,0.000844475721323012,,,,,1.0485464522674974,97.0,74363564029870.8,70.91811142346084,1110010.280000009,3.5615997278407145,7049,472237755173.362,4.405911330049261,111.001028,0.971528198700784,0.9990686145204828,15652,7105,475989395730.8465,0.000638895987733197,37181782014935.07,70.91811142346022,555005.1399999997,7826,3.406755805770584
